customer_id,name,email,signup_date,city,state
1,Anita Rastogi,vamakshi25@example.com,2026-01-22,Saiha,Mizoram
2,Oeshi Mann,qabilgala@example.com,2026-02-04,Udaipur,Rajasthan
3,Warda Merchant,ekanshkarnik@example.com,2026-02-15,Indore,Madhya Pradesh
4,Mason Bobal,ngarde@example.org,2026-02-07,Thoubal,Manipur
5,Tara Rama,fchana@example.com,2026-01-27,Solan,Himachal Pradesh
6,Neel Sahota,ekani05@example.org,2026-02-17,Tura,Meghalaya
7,Eesha Memon,yash88@example.net,2026-01-30,Visakhapatnam,Andhra Pradesh
8,Eshana Balan,praneel83@example.org,2026-02-08,Imphal,Manipur
9,Amaira Naidu,revahayer@example.com,2026-01-22,Haridwar,Uttarakhand
10,Bhavini Sahni,suhanidass@example.org,2026-01-23,Jabalpur,Madhya Pradesh
11,Arunima Gole,hiral79@example.net,2026-01-29,Faridabad,Haryana
12,Ranveer Kamdar,gavin22@example.net,2026-02-14,Nizamabad,Telangana
13,Anmol Palla,elijah69@example.org,2026-02-10,Coimbatore,Tamil Nadu
14,Upkaar Dhingra,nicholasbumb@example.com,2026-02-18,Itanagar,Arunachal Pradesh
15,Sanya Yadav,bhavikavasa@example.net,2026-01-28,Solan,Himachal Pradesh
16,William Bajaj,gsood@example.net,2026-02-17,Gangtok,Sikkim
17,Omisha Srinivas,girikpanchal@example.net,2026-02-16,Haldwani,Uttarakhand
18,Lila Kala,damyanti00@example.org,2026-02-18,Shillong,Meghalaya
19,Triveni Narayan,zilmilchada@example.net,2026-01-24,Haldwani,Uttarakhand
20,Edhitha Gala,tailorkamya@example.org,2026-01-22,Solan,Himachal Pradesh
21,Yug Borra,jbains@example.com,2026-01-24,Aizawl,Mizoram
22,Janaki Chaudhuri,vsawhney@example.net,2026-02-17,Dimapur,Nagaland
23,Januja Bala,vasatikabasu@example.org,2026-02-02,Aizawl,Mizoram
24,Krisha Bhavsar,avi11@example.com,2026-02-15,Panipat,Haryana
25,Hamsini Sani,zloke@example.org,2026-02-05,Mysuru,Karnataka
26,Yug Krish,jnagar@example.net,2026-02-17,Ahmedabad,Gujarat
27,Krisha Behl,advaith35@example.org,2026-01-25,Jodhpur,Rajasthan
28,Vedant Kothari,chanakya46@example.org,2026-02-01,Nizamabad,Telangana
29,Megha Prabhu,surajhalak@example.com,2026-01-22,Lucknow,Uttar Pradesh
30,Max Rout,radhakrishnandarpan@example.org,2026-02-05,Hyderabad,Telangana
31,Eta Ganesh,abali@example.net,2026-01-23,Solan,Himachal Pradesh
32,Andrew Sabharwal,ikbalsaini@example.net,2026-01-28,Saiha,Mizoram
33,Urvi Kala,tanveersodhi@example.com,2026-01-23,Kozhikode,Kerala
34,Zinal Arya,yatan60@example.org,2026-01-23,Panaji,Goa
35,Wakeeta Mitra,zaitraperi@example.com,2026-01-26,Durgapur,West Bengal
36,Ria Taneja,jeremiah20@example.com,2026-02-17,Gangtok,Sikkim
37,Timothy Gulati,ishaanpall@example.net,2026-02-10,Visakhapatnam,Andhra Pradesh
38,Faris Bobal,vnanda@example.net,2026-02-16,Gyalshing,Sikkim
39,Lavanya Gupta,onimodi@example.net,2026-02-09,Gaya,Bihar
40,Eta Tiwari,prabhuqabil@example.net,2026-02-16,Haldwani,Uttarakhand
41,Qasim Sahni,pallavi95@example.org,2026-02-17,Bishnupur,Manipur
42,Mohini Palla,ekantaguha@example.net,2026-01-22,Guntur,Andhra Pradesh
43,Zayyan Thaman,jason82@example.net,2026-02-17,Bhubaneswar,Odisha
44,Urmi Gera,vamakshisandal@example.org,2026-01-24,Jabalpur,Madhya Pradesh
45,Kamala Gola,mitali68@example.net,2026-01-24,Warangal,Telangana
46,Tristan Bhatti,srivastavaviraj@example.net,2026-02-08,Udaipur,Rajasthan
47,Vansha Gupta,orinderkaran@example.com,2026-01-29,Agartala,Tripura
48,Logan Kant,sameshsagar@example.net,2026-01-26,Mokokchung,Nagaland
49,Aarush Ahuja,prashadsamar@example.com,2026-02-18,Vijayawada,Andhra Pradesh
50,Mitali Kurian,bakshibarkha@example.org,2026-02-06,Kochi,Kerala
51,Baljiwan Arya,radhakrishnandipta@example.net,2026-01-27,Ahmedabad,Gujarat
52,Forum Dugar,cbiswas@example.org,2026-02-14,Panipat,Haryana
53,Anamika Menon,cjha@example.org,2026-01-26,Ludhiana,Punjab
54,Theodore Tiwari,wazir95@example.com,2026-02-05,Bilaspur,Chhattisgarh
55,Yamini Prabhakar,tamannabadami@example.org,2026-02-10,Imphal,Manipur
56,Kai Bhatti,athaman@example.com,2026-02-19,Surat,Gujarat
57,Viraj Grover,parekhbhavani@example.org,2026-02-12,Guntur,Andhra Pradesh
58,Meghana Ganesan,itripathi@example.org,2026-02-18,Warangal,Telangana
59,Balveer Narula,birbaljiwan@example.com,2026-01-25,Margao,Goa
60,Nathan Mann,wakeeta68@example.net,2026-02-16,Bilaspur,Chhattisgarh
61,Meghana Sharaf,nandadayamai@example.com,2026-02-01,Gaya,Bihar
62,Vamakshi Lalla,ghosegarima@example.net,2026-02-12,Bhilai,Chhattisgarh
63,Yashoda Tank,eta78@example.org,2026-02-13,Jamshedpur,Jharkhand
64,Anay Bal,anandbaljiwan@example.com,2026-02-13,Bhubaneswar,Odisha
65,Daksha Pai,chanchaldin@example.com,2026-01-26,Dibrugarh,Assam
66,Veer Arora,fshenoy@example.com,2026-02-01,Gyalshing,Sikkim
67,Atharv Dara,sharafwahab@example.net,2026-02-13,Lunglei,Mizoram
68,Siddharth Sahota,oni13@example.com,2026-01-29,Vijayawada,Andhra Pradesh
69,Priya Nagi,nicholas53@example.net,2026-02-11,Jodhpur,Rajasthan
70,Ikbal Ganesan,sachdevchampak@example.com,2026-02-14,Vijayawada,Andhra Pradesh
71,Ira Iyer,widisha02@example.com,2026-02-15,Warangal,Telangana
72,Leela Amble,zchander@example.com,2026-02-17,Amritsar,Punjab
73,Hiral Sani,hvirk@example.com,2026-02-05,Thoubal,Manipur
74,Rudra Gokhale,mallbimala@example.org,2026-02-19,Mokokchung,Nagaland
75,Tristan Nadig,krishsamuel@example.org,2026-02-11,Bengaluru,Karnataka
76,Isaiah Kulkarni,sahnizehaan@example.net,2026-02-03,Ludhiana,Punjab
77,Aadhya Sagar,vrege@example.net,2026-02-02,Imphal,Manipur
78,Alexander Devi,jagviwarrior@example.com,2026-02-17,Cuttack,Odisha
79,Dominic Joshi,pushti76@example.org,2026-01-30,Kanpur,Uttar Pradesh
80,Sai Bera,modiradha@example.net,2026-01-25,Kohima,Nagaland
81,Ayaan Pant,singhalwarda@example.com,2026-02-16,Dehradun,Uttarakhand
82,Osha Bhatia,vlad@example.net,2026-02-16,Ranchi,Jharkhand
83,Bhanumati Soni,rsangha@example.com,2026-02-12,Lucknow,Uttar Pradesh
84,Saksham Deep,widisha08@example.org,2026-02-07,Jowai,Meghalaya
85,Fiyaz Wali,nathavi@example.org,2026-02-15,Haldwani,Uttarakhand
86,Avi Sachdev,qgala@example.org,2026-02-16,Udaipur,Tripura
87,Rachita Prakash,samakshnarayan@example.net,2026-01-31,Dibrugarh,Assam
88,Adya Narula,dakshanayak@example.net,2026-01-29,Dharamshala,Himachal Pradesh
89,Udarsh Babu,rehaan56@example.org,2026-02-02,Jalandhar,Punjab
90,Dalaja Khosla,mnadkarni@example.net,2026-02-01,Kochi,Kerala
91,Kiaan Karan,zashil96@example.net,2026-01-25,Saiha,Mizoram
92,Akshay Vala,dinriya@example.org,2026-01-24,Dharmanagar,Tripura
93,Dalbir Kaur,raaginiandra@example.com,2026-01-24,Jowai,Meghalaya
94,Eshana Ahluwalia,lekhakothari@example.org,2026-02-10,Tura,Meghalaya
95,Rayaan Ramanathan,agarwalamol@example.org,2026-02-18,Jodhpur,Rajasthan
96,Mason Jain,dalajawalia@example.com,2026-02-03,Haridwar,Uttarakhand
97,Ira Chauhan,fparmar@example.net,2026-02-16,Mokokchung,Nagaland
98,Yochana Kapadia,diyasankar@example.com,2026-01-29,Visakhapatnam,Andhra Pradesh
